name,artist,colourid,colour,collectornum,expansion,hexval
Auratouched Mage,Jeff Miracola,['W'],['W'],1,RAV,"#363C59
#4F638C
#789EBF
#8C4A23
#D99E91"
Bathe in Light,Alex Horley-Orlandelli,['W'],['W'],2,RAV,"#D9AF62
#D9BB84
#D9CAAD
#BF7839
#A65729"
Benevolent Ancestor,Nick Percival,['W'],['W'],3,RAV,"#BFBFAA
#73715D
#262014
#A66641
#8C251C"
Blazing Archon,Zoltan Boros & Gabor Szikszai,['W'],['W'],4,RAV,"#F2CA50
#F2A444
#D96F32
#733122
#BF2626"
Boros Fury-Shield,Wayne England,"['R', 'W']",['W'],5,RAV,"#735736
#F2A663
#BF6E3F
#D95D41
#401C14"
Caregiver,William Simpson,['W'],['W'],6,RAV,"#BFD9D9
#BF9D5E
#8C7354
#731B14
#A61B1B"
Chant of Vitu-Ghazi,Stephen Tappin,['W'],['W'],7,RAV,"#79BED9
#1D4039
#437361
#5BA67B
#93BF9E"
Concerted Effort,Michael Sutfin,['W'],['W'],8,RAV,"#A66D88
#F2C063
#D98C4A
#BF7245
#8C4130"
Conclave Equenaut,Terese Nielsen,['W'],['W'],9,RAV,"#BABCD9
#6E7346
#D9C252
#261B0E
#734319"
Conclave Phalanx,Wayne Reynolds,['W'],['W'],10,RAV,"#555931
#D3D9A9
#A3A65D
#F2EDD5
#262014"
Conclave's Blessing,Shishizaru,['W'],['W'],11,RAV,"#262312
#595336
#F2DBAE
#D9AE79
#A66832"
Courier Hawk,Mark Poole,['W'],['W'],12,RAV,"#748C4F
#F2D8A7
#BFA98E
#8C4318
#8C7070"
Devouring Light,Pete Venters,['W'],['W'],13,RAV,"#F2CA50
#F2DEA0
#D99E32
#261308
#A62C21"
Divebomber Griffin,Kev Walker,['W'],['W'],14,RAV,"#C1D0D9
#F2EDD0
#BFAA84
#59402A
#261210"
Dromad Purebred,Carl Critchlow,['W'],['W'],15,RAV,"#D9CA9C
#F2BF5E
#D9984A
#BF6836
#401D15"
