,name,artist,colourid,colour,collectornum,expansion,hexval,red_h,green_h,blue_h,codename
0,Auratouched Mage,Jeff Miracola,['W'],['W'],1,RAV,#363C59,54,60,89,Auratouched MageRAV1
1,Auratouched Mage,Jeff Miracola,['W'],['W'],1,RAV,#4F638C,79,99,140,Auratouched MageRAV2
2,Auratouched Mage,Jeff Miracola,['W'],['W'],1,RAV,#789EBF,120,158,191,Auratouched MageRAV3
3,Auratouched Mage,Jeff Miracola,['W'],['W'],1,RAV,#8C4A23,140,74,35,Auratouched MageRAV4
4,Auratouched Mage,Jeff Miracola,['W'],['W'],1,RAV,#D99E91,217,158,145,Auratouched MageRAV5
5,Bathe in Light,Alex Horley-Orlandelli,['W'],['W'],2,RAV,#D9AF62,217,175,98,Bathe in LightRAV1
6,Bathe in Light,Alex Horley-Orlandelli,['W'],['W'],2,RAV,#D9BB84,217,187,132,Bathe in LightRAV2
7,Bathe in Light,Alex Horley-Orlandelli,['W'],['W'],2,RAV,#D9CAAD,217,202,173,Bathe in LightRAV3
8,Bathe in Light,Alex Horley-Orlandelli,['W'],['W'],2,RAV,#BF7839,191,120,57,Bathe in LightRAV4
9,Bathe in Light,Alex Horley-Orlandelli,['W'],['W'],2,RAV,#A65729,166,87,41,Bathe in LightRAV5
10,Benevolent Ancestor,Nick Percival,['W'],['W'],3,RAV,#BFBFAA,191,191,170,Benevolent AncestorRAV1
11,Benevolent Ancestor,Nick Percival,['W'],['W'],3,RAV,#73715D,115,113,93,Benevolent AncestorRAV2
12,Benevolent Ancestor,Nick Percival,['W'],['W'],3,RAV,#262014,38,32,20,Benevolent AncestorRAV3
13,Benevolent Ancestor,Nick Percival,['W'],['W'],3,RAV,#A66641,166,102,65,Benevolent AncestorRAV4
14,Benevolent Ancestor,Nick Percival,['W'],['W'],3,RAV,#8C251C,140,37,28,Benevolent AncestorRAV5
15,Blazing Archon,Zoltan Boros & Gabor Szikszai,['W'],['W'],4,RAV,#F2CA50,242,202,80,Blazing ArchonRAV1
16,Blazing Archon,Zoltan Boros & Gabor Szikszai,['W'],['W'],4,RAV,#F2A444,242,164,68,Blazing ArchonRAV2
17,Blazing Archon,Zoltan Boros & Gabor Szikszai,['W'],['W'],4,RAV,#D96F32,217,111,50,Blazing ArchonRAV3
18,Blazing Archon,Zoltan Boros & Gabor Szikszai,['W'],['W'],4,RAV,#733122,115,49,34,Blazing ArchonRAV4
19,Blazing Archon,Zoltan Boros & Gabor Szikszai,['W'],['W'],4,RAV,#BF2626,191,38,38,Blazing ArchonRAV5
20,Boros Fury-Shield,Wayne England,"['R', 'W']",['W'],5,RAV,#735736,115,87,54,Boros Fury-ShieldRAV1
21,Boros Fury-Shield,Wayne England,"['R', 'W']",['W'],5,RAV,#F2A663,242,166,99,Boros Fury-ShieldRAV2
22,Boros Fury-Shield,Wayne England,"['R', 'W']",['W'],5,RAV,#BF6E3F,191,110,63,Boros Fury-ShieldRAV3
23,Boros Fury-Shield,Wayne England,"['R', 'W']",['W'],5,RAV,#D95D41,217,93,65,Boros Fury-ShieldRAV4
24,Boros Fury-Shield,Wayne England,"['R', 'W']",['W'],5,RAV,#401C14,64,28,20,Boros Fury-ShieldRAV5
25,Caregiver,William Simpson,['W'],['W'],6,RAV,#BFD9D9,191,217,217,CaregiverRAV1
26,Caregiver,William Simpson,['W'],['W'],6,RAV,#BF9D5E,191,157,94,CaregiverRAV2
27,Caregiver,William Simpson,['W'],['W'],6,RAV,#8C7354,140,115,84,CaregiverRAV3
28,Caregiver,William Simpson,['W'],['W'],6,RAV,#731B14,115,27,20,CaregiverRAV4
29,Caregiver,William Simpson,['W'],['W'],6,RAV,#A61B1B,166,27,27,CaregiverRAV5
30,Chant of Vitu-Ghazi,Stephen Tappin,['W'],['W'],7,RAV,#79BED9,121,190,217,Chant of Vitu-GhaziRAV1
31,Chant of Vitu-Ghazi,Stephen Tappin,['W'],['W'],7,RAV,#1D4039,29,64,57,Chant of Vitu-GhaziRAV2
32,Chant of Vitu-Ghazi,Stephen Tappin,['W'],['W'],7,RAV,#437361,67,115,97,Chant of Vitu-GhaziRAV3
33,Chant of Vitu-Ghazi,Stephen Tappin,['W'],['W'],7,RAV,#5BA67B,91,166,123,Chant of Vitu-GhaziRAV4
34,Chant of Vitu-Ghazi,Stephen Tappin,['W'],['W'],7,RAV,#93BF9E,147,191,158,Chant of Vitu-GhaziRAV5
35,Concerted Effort,Michael Sutfin,['W'],['W'],8,RAV,#A66D88,166,109,136,Concerted EffortRAV1
36,Concerted Effort,Michael Sutfin,['W'],['W'],8,RAV,#F2C063,242,192,99,Concerted EffortRAV2
37,Concerted Effort,Michael Sutfin,['W'],['W'],8,RAV,#D98C4A,217,140,74,Concerted EffortRAV3
38,Concerted Effort,Michael Sutfin,['W'],['W'],8,RAV,#BF7245,191,114,69,Concerted EffortRAV4
39,Concerted Effort,Michael Sutfin,['W'],['W'],8,RAV,#8C4130,140,65,48,Concerted EffortRAV5
40,Conclave Equenaut,Terese Nielsen,['W'],['W'],9,RAV,#BABCD9,186,188,217,Conclave EquenautRAV1
